City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pevek,69.7008,170.3133,-30.35,-30.35,100,1.64,RU,1675829721
1,jamestown,42.097,-79.2353,2.79,1.64,100,4.12,US,1675829496
2,punta arenas,-53.15,-70.9167,13.06,12.84,0,6.69,CL,1675829607
3,hermanus,-34.4187,19.2345,18.78,18.78,0,5.59,ZA,1675829749
4,palmares do sul,-30.2578,-50.5097,23.5,23.5,0,5.41,BR,1675830054
5,busselton,-33.65,115.3333,27.3,27.3,0,1.74,AU,1675829977
6,cayenne,4.9333,-52.3333,25.02,25.02,100,1.54,GF,1675830054
7,carnarvon,-24.8667,113.6333,30.36,30.36,3,6.56,AU,1675829820
8,mae hong son,19.3003,97.9685,24.08,24.08,3,1.54,TH,1675830055
9,berlevag,70.8578,29.0864,1.0,-1.11,44,10.29,NO,1675829866
10,rikitea,-23.1203,-134.9692,26.55,26.55,52,4.0,PF,1675829711
11,plettenberg bay,-34.0527,23.3716,19.09,19.09,100,2.68,ZA,1675829774
12,sampit,-2.5333,112.95,32.61,32.61,100,1.46,ID,1675830057
13,castro,-24.7911,-50.0119,16.06,16.06,53,2.2,BR,1675829718
14,hithadhoo,-0.6,73.0833,27.37,27.37,13,3.16,MV,1675829801
15,rajapur,25.3833,81.15,20.31,20.31,0,3.69,IN,1675830057
16,chapais,49.7834,-74.8492,-5.12,-5.12,100,4.19,CA,1675829850
17,okhotsk,59.3833,143.3,-23.19,-23.19,82,5.09,RU,1675830045
18,ambon,-3.6954,128.1814,32.08,32.08,20,5.66,ID,1675829823
19,albany,42.6001,-73.9662,2.93,-0.43,81,0.45,US,1675829624
20,tuatapere,-46.1333,167.6833,12.59,12.59,59,7.16,NZ,1675829852
21,ribeira grande,38.5167,-28.7,12.65,12.65,45,3.13,PT,1675830010
22,kodiak,57.79,-152.4072,-5.27,-5.27,0,7.72,US,1675829492
23,port alfred,-33.5906,26.891,20.1,20.1,100,1.79,ZA,1675829465
24,san cristobal,7.7669,-72.225,20.1,20.1,12,0.74,VE,1675829749
25,padang,-0.9492,100.3543,29.03,29.03,89,1.79,ID,1675829832
26,mataura,-46.1927,168.8643,14.21,14.21,57,5.35,NZ,1675829725
27,tabat,-2.635,115.2274,32.79,32.79,81,1.25,ID,1675830060
28,beringovskiy,63.05,179.3167,-28.98,-28.98,69,3.45,RU,1675829909
29,codrington,-38.2667,141.9667,19.23,19.23,63,6.44,AU,1675829497
30,severo-kurilsk,50.6789,156.125,-4.35,-4.35,20,4.12,RU,1675829998
31,qaanaaq,77.484,-69.3632,-31.97,-31.97,7,2.68,GL,1675829727
32,dodoma,-6.1722,35.7395,21.95,21.95,75,3.6,TZ,1675830061
33,hobart,-42.8794,147.3294,19.59,15.7,75,5.66,AU,1675829656
34,eyl,7.9803,49.8164,25.16,25.16,100,5.87,SO,1675829724
35,ulaangom,49.9811,92.0667,-23.35,-23.35,100,1.06,MN,1675830063
36,nanortalik,60.1432,-45.2371,-15.45,-15.45,11,7.06,GL,1675829793
37,harindanga,22.0383,88.3214,26.86,26.86,0,5.26,IN,1675830064
38,butaritari,3.0707,172.7902,27.41,27.41,100,9.67,KI,1675829738
39,ushuaia,-54.8,-68.3,8.79,8.79,99,3.44,AR,1675829577
40,mazagao,-0.115,-51.2894,24.03,24.03,99,1.51,BR,1675830065
41,puerto escondido,15.85,-97.0667,24.8,24.8,1,2.81,MX,1675829993
42,kununurra,-15.7667,128.7333,36.99,36.99,4,3.6,AU,1675829692
43,nampa,43.5407,-116.5635,7.69,3.59,100,4.12,US,1675830022
44,east london,-33.0153,27.9116,20.52,20.52,100,4.63,ZA,1675829780
45,inongo,-1.95,18.2667,22.61,22.61,68,1.79,CD,1675830067
46,menongue,-14.6585,17.691,16.24,16.24,100,1.43,AO,1675830068
47,dikson,73.5069,80.5464,-20.44,-20.44,100,10.01,RU,1675829767
48,airai,-8.9266,125.4092,20.94,20.94,82,1.58,TL,1675829818
49,torbay,47.6666,-52.7314,-2.56,-4.35,75,11.32,CA,1675829803
50,longyearbyen,78.2186,15.6401,-5.09,-5.09,40,4.12,SJ,1675829622
51,careiro da varzea,-3.2003,-59.8119,24.35,24.34,81,1.64,BR,1675829864
52,nikolskoye,59.7035,30.7861,-1.06,-2.34,100,4.34,RU,1675829743
53,upernavik,72.7868,-56.1549,-30.59,-30.59,47,1.81,GL,1675829751
54,tiksi,71.6872,128.8694,-37.26,-37.26,98,2.7,RU,1675829771
55,muisne,0.6,-80.0333,24.91,24.91,31,1.98,EC,1675829907
56,los llanos de aridane,28.6585,-17.9182,12.86,12.86,20,2.57,ES,1675829755
57,whitehorse,60.7161,-135.0538,-12.02,-12.02,83,2.27,CA,1675829742
58,caucaguita,10.3578,-66.8025,19.77,19.49,64,0.62,VE,1675830070
59,barrow,71.2906,-156.7887,-18.99,-18.99,100,3.09,US,1675829774
60,cabo san lucas,22.8909,-109.9124,20.28,17.88,84,2.07,MX,1675829576
61,bredasdorp,-34.5322,20.0403,18.06,18.06,6,2.96,ZA,1675829723
62,yumen,40.2833,97.2,0.66,0.66,30,7.06,CN,1675829862
63,indapur,18.3,73.25,27.91,27.91,43,0.83,IN,1675830072
64,yellowknife,62.456,-114.3525,-19.69,-19.69,100,2.68,CA,1675829753
65,gombong,-7.6072,109.5142,29.28,29.28,100,0.48,ID,1675829830
66,maragogi,-9.0122,-35.2225,24.5,24.5,98,1.9,BR,1675829807
67,ritchie,-29.038,24.6028,17.56,17.56,100,3.31,ZA,1675830073
68,hasaki,35.7333,140.8333,11.22,11.22,100,9.41,JP,1675829616
69,namibe,-15.1961,12.1522,20.72,20.72,95,2.55,AO,1675829735
70,sosnogorsk,63.6023,53.8817,-7.27,-7.27,100,4.31,RU,1675830074
71,rocha,-34.4833,-54.3333,21.32,21.32,45,3.6,UY,1675829547
72,novyy buh,47.6931,32.5216,-5.95,-5.95,94,7.2,UA,1675830074
73,lalibela,12.0333,39.0333,12.16,12.16,6,1.91,ET,1675830075
74,lorengau,-2.0226,147.2712,25.99,25.99,100,9.71,PG,1675829772
75,norman wells,65.282,-126.8329,-19.95,-19.95,94,0.67,CA,1675829517
76,georgetown,5.4112,100.3354,29.96,29.96,20,4.12,MY,1675829748
77,provideniya,64.3833,-173.3,-19.94,-19.94,100,3.0,RU,1675829632
78,san angelo,31.4638,-100.437,6.12,4.78,100,5.66,US,1675829914
79,vaini,-21.2,-175.2,25.09,25.09,75,2.57,TO,1675829719
80,new norfolk,-42.7826,147.0587,19.39,15.51,5,0.89,AU,1675829750
81,hay river,60.8156,-115.7999,-21.01,-21.02,75,2.06,CA,1675830078
82,arraial do cabo,-22.9661,-42.0278,23.7,23.7,100,2.26,BR,1675829738
83,bluff,-46.6,168.3333,12.21,12.21,48,12.35,NZ,1675829495
84,guerrero negro,27.9769,-114.0611,16.17,16.17,0,3.14,MX,1675829821
85,mar del plata,-38.0023,-57.5575,23.38,21.57,5,7.15,AR,1675829740
86,hilo,19.7297,-155.09,24.04,21.12,100,3.09,US,1675829495
87,la rioja,42.25,-2.5,-2.12,-2.12,100,2.72,ES,1675830080
88,ketchikan,55.3422,-131.6461,1.91,1.91,100,1.98,US,1675830080
89,krasnogorsk,55.8225,37.3181,-6.81,-6.97,100,4.0,RU,1675830081
90,biak,-0.9131,122.8766,25.62,25.62,100,3.16,ID,1675830082
91,cape town,-33.9258,18.4232,21.06,18.95,0,6.26,ZA,1675829700
92,lata,40.1629,-8.3327,5.12,5.12,37,3.02,PT,1675830004
93,biggar,55.6167,-3.5167,8.08,2.88,92,5.74,GB,1675830084
94,puerto palomas,31.7667,-107.6167,6.79,6.79,30,4.88,MX,1675830084
95,saint george,37.1041,-113.5841,7.75,5.24,0,2.57,US,1675829606
96,clyde river,70.4692,-68.5914,-35.87,-35.87,0,2.06,CA,1675829824
97,ambilobe,-13.2,49.05,23.34,23.34,100,0.97,MG,1675829786
98,taoudenni,22.6783,-3.9836,16.53,16.53,82,5.13,ML,1675830039
99,ust-maya,60.4167,134.5333,-32.1,-32.1,100,0.19,RU,1675830086
100,puerto ayora,-0.7393,-90.3518,25.86,25.86,44,1.79,EC,1675829747
101,bartow,27.8964,-81.8431,18.7,14.34,55,3.77,US,1675830086
